Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3	6.68525527735871	7.30103177537148	6.7748855895342	7.93705313900765	6.88077312524413	7.29693158209799
Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2	7.74468819087787	7.62509561460283	7.21772978435106	5.31995801734569	7.45267947313984	7.70514781552082
Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2	5.30134029557565	5.17841248870752	5.58100585594016	4.35843216516032	5.0405535692809	5.41031338151573
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3	8.22455906108816	8.57736300381873	7.94192808244339	8.19265369307061	8.34845210426421	7.92068656581621
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1	6.24756903913467	5.89664152029214	6.13264828346129	5.72521449583195	6.27618181777405	5.91478596437652
Tpr_TRINITY_DN14163_c3_g1|Tdu_TRINITY_DN19590_c0_g4	6.31882772230449	6.37396329782533	6.55105263383853	6.61829929191543	6.52930075474276	6.00641643984209
Tpr_TRINITY_DN14623_c0_g3|Tdu_TRINITY_DN21734_c3_g4	6.54370113314469	6.52799692649775	7.30407063329011	8.10485808857559	7.16317285594486	7.31496550492825
Tpr_TRINITY_DN13313_c2_g11|Tdu_TRINITY_DN17059_c4_g2	6.76396725337275	7.11903394162859	6.15936562183707	4.63406660777375	6.77285778607725	6.49184326701233
Tpr_TRINITY_DN11787_c0_g1|Tdu_TRINITY_DN18867_c0_g1	8.05753045700675	7.50034058359488	7.48393843798	6.08778457521665	7.60205709717807	7.78494852673394
Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1	7.71857535055874	7.44338469878281	7.37417487175445	5.99314770107858	7.30552577935619	7.43525973864596
Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2	5.87452562852045	5.4336695439496	5.22407131122488	3.28042965315905	6.49574819503173	6.13379574631832
Tpr_TRINITY_DN12271_c0_g1|Tdu_TRINITY_DN23805_c0_g1	6.28363829384219	4.86807236809537	4.03503748683487	5.60235774804641	6.01709459645692	5.81693864097838
Tpr_TRINITY_DN13225_c1_g4|Tdu_TRINITY_DN22117_c2_g1	6.17260698145344	4.74777813437766	5.69496204523725	3.56993627035403	5.81427771345723	5.34160063143172
Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1	6.99907072645875	7.62509561460283	7.59575244130935	6.48554408306366	7.36248166416827	7.56147745484938
Tpr_TRINITY_DN10187_c2_g6|Tdu_TRINITY_DN20971_c8_g1	6.76396725337275	6.7940717866516	5.54092841656483	5.15489877107519	6.01709459645692	5.26945084567588
Tpr_TRINITY_DN8303_c0_g1|Tdu_TRINITY_DN16034_c0_g1	6.00987748141534	6.29030536877842	5.89897593725884	5.94339466588148	6.42620726177865	5.34160063143172
Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1	4.80176928608514	3.68364779695794	4.88303439338982	3.28042965315905	4.47867468167279	4.50761058287065
Tpr_TRINITY_DN13660_c2_g1|Tdu_TRINITY_DN19486_c2_g2	5.37005304565966	5.65048093302275	5.1725410105848	2.4324327466041	5.64094611057167	4.84202962194121
Tpr_TRINITY_DN12056_c4_g1|Tdu_TRINITY_DN21708_c3_g1	5.43564138728724	6.2465839913491	5.32191863462303	4.5028220744955	5.21564027583899	5.19350199244258
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2	6.57314491103717	7.01863204467075	5.65796783775505	8.01137145969749	5.37175947775628	6.58396146900076
Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1	5.43564138728724	6.33274063509882	5.49970575383831	5.2397876686617	3.99324785450255	4.07151146806397
